Date,Time,Hours,1,2,3,4,Treatment,Concentration
7/18/2019,1:01 PM,1,0.001,0.001,0,0.002,neg_control,0
7/18/2019,1:03 PM,1,0.002,0,-0.001,-0.002,MFA,0.2
7/18/2019,1:05 PM,1,-0.002,0,-0.001,-0.001,MFA,2
7/18/2019,1:07 PM,1,-0.001,-0.003,-0.002,-0.003,MFA,20
7/18/2019,1:09 PM,1,-0.003,-0.002,-0.002,-0.004,MFA,200
7/18/2019,1:11 PM,1,-0.005,-0.003,-0.003,-0.004,MFA,2000
7/18/2019,2:00 PM,1.983333333,0.002,0.003,0.001,0.003,neg_control,0
7/18/2019,2:02 PM,1.983333333,0.003,0.002,0,0,MFA,0.2
7/18/2019,2:04 PM,1.983333333,0.001,0.003,0.002,0.002,MFA,2
7/18/2019,2:06 PM,1.983333333,0.002,0,0.002,0,MFA,20
7/18/2019,2:08 PM,1.983333333,0.005,0.004,0.003,0.002,MFA,200
7/18/2019,2:10 PM,1.983333333,0.001,0.003,0.005,0.002,MFA,2000
7/18/2019,3:10 PM,3.05,0.031,0.023,0.027,0.023,MFA,20
7/18/2019,3:12 PM,3.05,0.026,0.029,0.025,0.024,MFA,200
7/18/2019,3:14 PM,3.05,0.024,0.029,0.034,0.027,MFA,2000
7/18/2019,3:07 PM,3.066666667,0.024,0.028,0.017,0.017,MFA,0.2
7/18/2019,3:09 PM,3.066666667,0.031,0.029,0.027,0.025,MFA,2
7/18/2019,3:06 PM,3.083333333,0.015,0.022,0.019,0.018,neg_control,0
7/18/2019,4:01 PM,4,0.139,0.165,0.141,0.147,neg_control,0
7/18/2019,4:03 PM,4,0.181,0.207,0.151,0.147,MFA,0.2
7/18/2019,4:05 PM,4,0.227,0.191,0.195,0.19,MFA,2
7/18/2019,4:07 PM,4,0.209,0.182,0.177,0.185,MFA,20
7/18/2019,4:09 PM,4,0.183,0.193,0.182,0.175,MFA,200
7/18/2019,4:11 PM,4,0.186,0.204,0.223,0.173,MFA,2000
7/18/2019,5:01 PM,5,0.425,0.468,0.429,0.498,neg_control,0
7/18/2019,5:03 PM,5,0.529,0.524,0.435,0.434,MFA,0.2
7/18/2019,5:05 PM,5,0.605,0.574,0.588,0.572,MFA,2
7/18/2019,5:07 PM,5,0.618,0.555,0.561,0.537,MFA,20
7/18/2019,5:09 PM,5,0.55,0.575,0.549,0.516,MFA,200
7/18/2019,5:11 PM,5,0.575,0.572,0.63,0.501,MFA,2000
7/18/2019,6:01 PM,6,0.71,0.693,0.688,0.751,neg_control,0
7/18/2019,6:03 PM,6,0.761,0.79,0.681,0.701,MFA,0.2
7/18/2019,6:05 PM,6,0.835,0.814,0.791,0.835,MFA,2
7/18/2019,6:07 PM,6,0.879,0.823,0.795,0.803,MFA,20
7/18/2019,6:09 PM,6,0.808,0.805,0.82,0.802,MFA,200
7/18/2019,6:11 PM,6,0.841,0.83,0.891,0.67,MFA,2000
7/18/2019,7:01 PM,7,0.831,0.828,0.791,0.85,neg_control,0
7/18/2019,7:03 PM,7,0.844,0.809,0.832,0.817,MFA,0.2
7/18/2019,7:05 PM,7,0.942,0.963,0.9,0.945,MFA,2
7/18/2019,7:07 PM,7,0.967,0.926,0.925,0.913,MFA,20
7/18/2019,7:09 PM,7,0.927,0.916,0.969,0.932,MFA,200
7/18/2019,7:11 PM,7,0.958,0.943,0.966,0.752,MFA,2000
7/18/2019,11:08 PM,11.11666667,1.125,1.106,1.2,1.196,neg_control,0
7/18/2019,11:11 PM,11.13333333,1.139,1.134,1.259,1.221,MFA,0.2
7/18/2019,11:13 PM,11.13333333,1.361,1.311,1.315,1.328,MFA,2
7/18/2019,11:15 PM,11.13333333,1.37,1.344,1.323,1.344,MFA,20
7/18/2019,11:17 PM,11.13333333,1.338,1.34,1.344,1.337,MFA,200
7/18/2019,11:19 PM,11.13333333,1.368,1.344,1.383,1.027,MFA,2000
7/18/2019,1:01 PM,0,0.001,0.001,0,0.002,neg_control,0
7/18/2019,1:03 PM,0,0.002,0,-0.001,-0.002,MFA,0.2
7/18/2019,1:05 PM,0,-0.002,0,-0.001,-0.001,MFA,2
7/18/2019,1:07 PM,0,-0.001,-0.003,-0.002,-0.003,MFA,20
7/18/2019,1:09 PM,0,-0.003,-0.002,-0.002,-0.004,MFA,200
7/18/2019,1:11 PM,0,-0.005,-0.003,-0.003,-0.004,MFA,2000
7/18/2019,1:01 PM,0.75,0.001,0.001,0,0.002,neg_control,0
7/18/2019,1:03 PM,0.75,0.002,0,-0.001,-0.002,MFA,0.2
7/18/2019,1:05 PM,0.75,-0.002,0,-0.001,-0.001,MFA,2
7/18/2019,1:07 PM,0.75,-0.001,-0.003,-0.002,-0.003,MFA,20
7/18/2019,1:09 PM,0.75,-0.003,-0.002,-0.002,-0.004,MFA,200
7/18/2019,1:11 PM,0.75,-0.005,-0.003,-0.003,-0.004,MFA,2000
